upi_id,account_age_days,transaction_count_last_24h,transaction_velocity_1h,average_transaction_interval,average_transaction_amount,device_change,transaction_amount,new_recipient,similar_transactions_last_10min,location_change,ip_address_change,vpn_usage,transaction_time,merchant_transaction,blacklist_flag,is_fraud
user85@upi,1114,2,0.251080104,3.953744189,8380.759034,1,43960.54537,1,2,1,0,1,3,0,1,1
user86@upi,1965,11,0.650425249,70.81528871,436.5052838,1,2289.680164,1,0,0,0,1,15,1,1,1
user87@upi,1595,2,0.212333974,62.89856012,12399.06921,1,21158.70987,0,1,0,0,0,20,1,1,1
user88@upi,1905,5,0.122007414,33.96007625,1355.584156,1,42966.93586,1,3,0,0,1,15,1,1,1
user89@upi,1421,1,0.701383286,4.557116108,2246.329945,0,6742.394151,0,3,0,1,1,16,0,1,1
user90@upi,1035,11,0.113440817,119.3513025,13039.98932,1,42383.78088,1,2,0,0,0,14,0,0,1
user91@upi,1031,1,0.996909219,57.83834242,6318.51769,0,29639.10489,1,1,1,0,0,12,1,1,1
user92@upi,1423,5,0.183452401,90.72050901,7025.800039,0,46565.61464,1,2,1,0,1,0,1,1,1
user93@upi,575,16,0.594141863,54.27768421,9787.460832,0,43803.19532,0,0,0,0,1,21,1,1,1
user94@upi,1139,2,0.411374571,5.180434904,19573.71006,0,33854.94576,0,2,0,1,1,4,1,1,1
user95@upi,1805,1,0.126386422,37.15208941,19312.30019,1,32894.55477,0,1,0,1,0,19,1,1,1
user96@upi,1855,19,0.027843908,38.41321692,8383.593887,1,10666.07848,0,1,1,1,0,0,1,0,1
user97@upi,1510,7,0.622732282,100.6023485,5383.434423,1,5846.480828,0,3,1,1,1,11,0,0,1
user98@upi,712,11,0.806757564,78.50759736,6121.583838,1,20775.51756,0,0,0,1,1,22,1,0,1
user99@upi,411,3,0.842015662,33.05158844,5448.747833,1,9337.136174,0,4,1,1,1,14,1,0,1
user100@upi,739,4,0.482713473,116.1287946,10691.69156,0,5129.811717,0,3,0,0,1,3,1,0,0
user101@upi,1589,12,0.777455467,38.58501989,12176.51018,1,15123.3134,0,2,0,0,0,18,1,1,1
user102@upi,171,14,0.672847133,119.7880831,9826.709826,0,43025.89224,1,2,1,0,1,15,0,0,1
user103@upi,211,15,0.724254527,119.5396432,8219.087809,0,867.2362194,1,1,1,1,0,22,0,0,0
user104@upi,1991,9,0.492599005,22.94526213,4304.572248,1,14638.95771,0,1,1,1,0,17,1,0,1
user105@upi,1005,15,0.63341174,37.52893394,9701.861269,0,21208.36874,1,1,1,1,0,16,1,0,0
user106@upi,279,11,0.805525914,58.32530382,6887.944005,0,25533.38178,1,4,1,0,1,10,1,1,1
user107@upi,1896,16,0.397884176,79.69208054,10877.74971,1,9087.059644,0,4,0,1,0,19,0,1,1
user108@upi,825,15,0.805978901,63.36569388,13536.26937,1,48211.36779,0,3,1,0,0,12,0,0,1
user109@upi,1304,11,0.592016843,116.3329763,12702.91227,1,28947.86345,1,4,0,1,1,23,0,1,1
user110@upi,465,7,0.165901024,86.87869971,9303.555187,0,26110.30625,0,1,1,0,1,21,1,1,1
user111@upi,1495,19,0.024684157,25.44538193,11165.44324,1,451.0412206,1,3,0,1,0,8,0,1,1
user112@upi,1760,2,0.3627536,12.61170603,5768.637006,1,24290.91182,0,3,1,0,1,16,1,1,1
user113@upi,1285,15,0.546696328,82.60815489,582.3811545,0,41885.15477,1,0,1,0,0,16,1,0,1
user114@upi,1026,12,0.839820352,19.01429282,12537.88714,1,10990.03071,0,4,0,1,1,4,1,1,1
user115@upi,1735,18,0.12748568,94.52122084,5126.114327,0,17566.86634,1,2,1,1,0,21,1,1,1
user116@upi,305,7,0.800206348,37.32440007,13412.17883,0,1038.36752,1,2,0,0,0,7,1,0,0
user117@upi,1758,4,0.863009046,39.22719157,14965.46914,1,48846.60644,1,0,1,1,1,2,0,0,1
user118@upi,729,19,0.150687487,1.295807087,18326.96215,0,3341.923338,1,1,0,1,1,5,0,1,1
user119@upi,1782,7,0.851594319,84.12135205,19166.64363,0,44912.07398,0,0,0,0,1,2,0,0,1
user120@upi,347,11,0.991453568,13.59237037,309.4683216,1,15656.25583,1,1,1,0,0,7,1,0,1
user121@upi,888,0,0.726838831,92.7456693,19808.44677,1,29381.94454,0,4,1,0,0,11,0,0,1
user122@upi,1086,19,0.784769682,59.02413863,13692.06454,1,33968.98384,1,4,1,1,1,3,1,0,1
user123@upi,801,5,0.994415268,94.11357779,12906.13079,0,7050.05008,0,3,1,0,0,1,1,1,1
user124@upi,1955,17,0.605481251,70.0711847,402.7405944,0,22193.5313,1,3,1,1,1,9,1,0,1
user125@upi,226,7,0.307886382,9.891992642,17238.5449,1,16280.05035,0,3,0,1,0,14,0,1,1
user126@upi,773,6,0.837530834,91.8782804,2995.2798,1,2839.557256,1,3,1,0,0,12,0,0,1
user127@upi,197,0,0.614485778,8.375938187,16762.87006,1,41661.35078,1,2,1,1,1,23,0,1,1
user128@upi,389,15,0.581195424,57.44420647,409.6946705,0,2267.936147,0,3,0,1,1,14,0,0,1
user129@upi,502,11,0.253635556,20.6819057,12954.68882,1,32666.36539,1,3,0,0,0,21,1,0,0
user130@upi,1074,5,0.75633427,90.28022136,8752.550522,0,15710.72805,1,3,1,0,0,18,1,0,0
user131@upi,1190,19,0.081667276,109.3909473,4095.257908,1,9614.545067,1,1,0,1,0,17,1,1,1
user132@upi,24,1,0.924287071,66.4951396,2240.471696,0,33357.63171,1,3,1,0,0,12,1,1,1
user133@upi,1846,13,0.325823461,63.25767532,8858.541161,0,28731.14035,0,0,0,0,1,19,1,0,0
user134@upi,74,3,0.127774653,91.67558356,2553.785526,1,15769.66031,1,3,0,1,1,19,0,0,1
user135@upi,1890,0,0.442366533,0.609457557,9780.287573,0,25652.90781,0,3,0,0,1,0,0,0,0
user136@upi,1872,17,0.042469909,110.1310371,12541.81947,0,12319.39269,0,2,1,0,0,15,1,1,1
user137@upi,530,12,0.684626194,23.69385805,16564.94545,1,43186.18599,0,3,0,1,0,7,1,1,1
user138@upi,1377,1,0.90270551,118.0942661,13605.1238,1,15697.80083,0,1,1,1,0,22,1,1,1
user139@upi,1162,8,0.837263007,88.35047376,1397.475357,0,12265.19995,1,4,1,1,0,5,1,1,1
user140@upi,657,1,0.127369473,92.91013772,6217.907398,0,37594.16722,1,3,1,0,1,2,1,0,0
user141@upi,1505,8,0.126271137,78.74435764,5830.774298,0,889.4484748,0,3,0,0,1,19,0,1,1
user142@upi,1096,0,0.813434482,56.59958193,18309.14523,1,13407.90649,1,3,1,1,1,15,1,1,1
user143@upi,1172,10,0.924254275,68.5953232,17368.86268,0,18776.00708,1,2,0,0,0,1,0,0,0
user144@upi,1532,2,0.46066983,5.568346322,7465.943575,0,44113.07571,0,4,0,0,1,22,0,0,1
user145@upi,602,19,0.498971117,74.87514113,1515.989592,1,47522.58571,0,2,1,0,1,1,1,1,1
user146@upi,401,3,0.318262041,75.13177224,17892.73562,1,35826.73357,0,2,1,0,1,14,1,1,1
user147@upi,1708,17,0.894265118,106.9440957,17774.98006,1,24631.66373,1,2,1,1,1,9,0,0,1
user148@upi,428,5,0.644902905,60.67876289,17109.44803,1,32034.67124,0,1,1,1,0,0,0,1,1
user149@upi,298,2,0.288251577,9.25732489,16917.12459,1,20705.91257,0,4,1,0,0,21,0,0,1
user150@upi,388,10,0.298782871,36.74351046,9657.054622,0,14948.30333,1,1,0,0,1,19,1,1,1
user151@upi,1806,14,0.891200073,78.67552945,3630.88988,0,47534.89653,1,1,0,0,1,14,0,1,1
user152@upi,1523,4,0.013634024,28.71106353,9602.012204,0,5778.357548,1,4,1,1,1,23,1,1,1
user153@upi,240,19,0.322726573,33.66333862,9942.495636,1,17326.21447,1,1,1,1,1,0,0,0,1
user154@upi,1027,9,0.554356681,98.45628196,9849.64189,1,44955.45711,1,4,1,1,1,21,1,1,1
user155@upi,50,11,0.148217462,70.11836781,10821.57446,1,36159.84012,1,3,0,1,0,15,1,0,0
user156@upi,1061,14,0.092098754,61.02329181,5227.374758,0,1464.781552,1,2,0,1,1,17,0,0,1
user157@upi,144,16,0.815276331,38.21423602,7388.199505,1,1164.752674,1,1,1,0,1,23,1,1,1
user158@upi,210,9,0.894404389,87.71136431,8740.31318,1,25830.45801,0,4,1,0,1,4,1,1,1
user159@upi,1873,5,0.823606421,34.52621214,2709.312069,1,24217.81028,1,0,0,1,0,20,0,1,1
user160@upi,789,17,0.89878789,88.44762212,9161.746278,0,22155.14702,0,1,0,1,0,4,1,0,0
user161@upi,939,12,0.553111971,8.412177632,16228.34538,1,15124.16465,1,1,1,0,0,22,0,1,1
user162@upi,1066,2,0.812258121,103.744961,16578.3849,1,49332.0696,1,4,1,1,0,22,0,0,1
user163@upi,1081,9,0.384042638,59.94797561,8290.119061,0,13606.64628,0,0,0,0,0,9,0,0,0
user164@upi,512,13,0.666267861,52.620962,10424.28541,1,24507.10992,1,0,0,1,1,22,1,1,1
user165@upi,416,5,0.988835531,73.32280939,769.6416095,1,20250.60591,0,3,0,0,1,11,1,1,1
user166@upi,1607,2,0.225727724,74.90304875,13521.20787,1,8520.768804,1,1,0,1,0,9,0,1,1
user167@upi,1761,15,0.389899746,15.84422123,8151.657071,0,10138.91477,0,2,0,0,0,1,1,1,1
user168@upi,814,6,0.480047377,90.74803078,8965.005893,1,45915.95407,0,1,1,0,0,23,0,0,1
user169@upi,108,19,0.138015487,33.11139575,17486.08727,1,42915.40335,1,2,1,1,1,0,0,1,1
user170@upi,693,13,0.08103861,108.5954256,9290.505248,0,9960.224848,0,2,0,1,0,15,0,0,0
user171@upi,1905,8,0.829722866,98.14207961,521.7256999,0,43784.37457,0,4,0,1,0,17,1,1,1
user172@upi,735,14,0.976794373,41.55192498,4627.068728,1,10467.21464,1,1,0,1,0,6,1,0,0
user173@upi,1580,2,0.404725064,96.92871518,9564.850225,0,31331.05062,1,4,0,1,1,3,1,0,1
user174@upi,970,1,0.087649836,42.76685992,8545.486226,1,4073.213361,0,3,1,0,0,9,0,0,1
user175@upi,1772,1,0.065811761,12.1137218,17221.36573,0,44019.67762,1,2,1,1,1,9,0,0,1
user176@upi,622,2,0.891318206,115.4265886,10888.53644,1,2584.49997,0,0,1,1,1,10,1,1,1
user177@upi,1976,17,0.46381425,78.31224183,13823.75126,1,27751.59503,0,2,1,1,1,2,1,1,1
user178@upi,1495,13,0.320027317,54.7319432,9439.533611,1,38987.77914,0,3,0,1,1,13,0,1,1
user179@upi,652,19,0.476461271,47.73280218,8849.149108,0,5850.568473,1,2,0,0,1,12,0,1,1
user180@upi,1802,17,0.318304095,38.96464011,8981.104703,0,20229.96857,1,4,1,1,0,18,0,0,0
user181@upi,1038,9,0.489035775,117.7737115,8277.339237,1,2107.088073,0,1,0,1,1,9,0,1,1
user182@upi,1251,1,0.859556397,16.16967182,10817.80938,1,34140.80134,0,0,1,1,1,14,1,0,1
user183@upi,512,0,0.592301371,37.77660707,5083.823695,1,15379.40525,0,4,0,1,1,7,1,0,1
user184@upi,776,3,0.694653773,58.25971683,17831.99836,1,27974.16828,1,1,0,0,0,16,0,0,0
user185@upi,407,13,0.364670676,57.35994541,6728.402407,0,46637.2862,0,0,1,0,1,5,0,0,1
user186@upi,880,0,0.738505879,56.56397813,3035.7243,0,15299.84682,1,3,0,0,1,6,1,0,0
user187@upi,804,13,0.666617085,21.0940579,2021.354524,1,2440.887307,0,2,0,0,1,13,0,0,0
user188@upi,402,15,0.119561998,17.39190325,367.1160109,0,33784.63211,0,0,0,0,0,7,0,0,0
user189@upi,216,13,0.572642853,30.57211036,8514.835963,0,39344.18831,0,3,1,1,1,11,1,0,1
user190@upi,1048,19,0.256743496,109.7431385,3833.458672,0,47893.84931,0,1,0,0,1,17,1,0,1
user191@upi,1891,2,0.80409567,13.56635614,530.7932615,1,7898.465843,1,0,0,0,1,13,1,0,0
user192@upi,1587,2,0.425937708,90.8910124,10448.38897,1,19613.07486,1,3,0,1,1,0,0,0,1
user193@upi,901,8,0.994684165,90.90580718,13631.57312,0,42208.5816,1,1,1,0,1,3,0,1,1
user194@upi,1494,5,0.092500438,97.17244847,1806.445913,0,40345.50095,1,4,0,0,1,16,1,0,1
user195@upi,1724,12,0.780347863,106.3938587,9272.323381,1,31243.53741,1,2,0,0,1,17,1,1,1
user196@upi,1608,1,0.673701734,31.5643413,14898.2107,1,13475.73357,0,3,1,0,0,18,0,0,1
user197@upi,873,7,0.767498831,26.94713631,19717.55574,1,14208.92418,1,4,0,1,0,3,0,0,0
user198@upi,752,1,0.307529795,55.86067998,13377.08786,0,6208.909701,1,1,0,0,0,5,0,0,0
user199@upi,1274,3,0.492054489,31.81070025,4972.307061,0,46093.46515,1,0,0,0,1,7,1,0,1
user200@upi,573,14,0.79650852,88.11719868,14359.41743,0,8654.846417,1,2,1,0,0,14,1,0,0
user201@upi,1030,3,0.232541332,76.31274921,11998.79559,1,28648.60119,0,1,0,0,1,19,0,1,1
user202@upi,105,12,0.226033197,104.9985226,4314.805843,1,29221.72733,0,3,0,0,0,0,1,1,1
user203@upi,1933,11,0.551050953,9.928596418,17037.10543,1,18486.57601,0,2,1,1,0,4,1,0,1
user204@upi,1767,12,0.52356358,109.81,8605.348102,1,17632.39787,1,4,1,0,1,15,1,0,1
user205@upi,494,13,0.28226247,35.2018352,19243.35533,1,33432.73504,0,2,0,0,1,20,0,0,0
user206@upi,1440,19,0.298075651,58.88332151,14485.73005,0,19421.00592,0,4,0,1,1,5,0,1,1
user207@upi,240,17,0.277845163,52.63337231,12926.80678,0,12763.21851,1,1,0,1,1,20,1,1,1
user208@upi,758,5,0.771512062,91.23739813,14594.22147,0,19962.5938,1,0,1,0,1,9,0,0,0
user209@upi,1688,10,0.651900866,50.43999713,9614.130674,1,40385.02726,1,2,0,1,0,9,1,0,1
user210@upi,1204,1,0.832417183,113.2263775,10154.00691,0,48324.25797,0,0,1,0,1,4,1,0,1
user211@upi,550,18,0.975473028,108.3040659,17039.02697,1,31801.15202,1,0,0,0,0,7,0,1,1
user212@upi,1069,18,0.474164296,104.6593382,13650.47788,0,39107.24026,0,2,1,0,0,0,1,0,0
user213@upi,534,4,0.066693881,8.550999918,17955.14217,0,26645.91482,0,2,1,0,1,4,1,0,0
user214@upi,1193,18,0.04809231,102.5109674,17827.4524,1,31244.90887,0,0,1,1,0,0,1,0,1
user215@upi,1872,1,0.295665039,93.79625345,19532.15168,0,49404.45197,0,3,0,1,0,6,1,1,1
user216@upi,1732,9,0.932544589,12.42155364,14034.27171,0,21926.55905,0,3,1,1,1,14,1,0,1
user217@upi,1276,1,0.523213055,12.88971905,10095.80418,0,3322.072301,1,2,1,1,1,22,1,0,1
user218@upi,1119,10,0.271786516,12.13965738,3409.602834,0,47850.77582,0,0,0,0,0,23,0,0,1
user219@upi,1829,17,0.399166795,1.359911185,14137.07314,0,39655.15543,0,0,1,0,0,13,1,1,1
user220@upi,587,14,0.598595107,65.83611662,5902.396564,0,19921.53529,0,1,1,0,0,22,0,1,1
user221@upi,691,8,0.652949658,116.807315,5730.656604,0,49119.92873,0,0,0,1,1,8,0,0,1
user222@upi,566,18,0.15391951,52.64216435,4841.926751,1,17283.33216,0,3,1,0,1,7,0,1,1
user223@upi,1607,8,0.977031677,64.89090023,17514.92894,0,18612.2886,1,1,0,0,1,7,0,0,0
user224@upi,1986,2,0.544772227,116.1563756,17372.49249,1,30490.47035,0,3,0,0,0,2,0,1,1
user225@upi,1022,8,0.135688318,30.62186745,12656.31185,0,13724.62583,0,4,0,1,1,19,1,0,1
user226@upi,655,13,0.893635253,103.0164303,9512.321529,1,34931.58854,0,2,1,1,1,3,1,0,1
user227@upi,805,18,0.074638431,65.56685607,13475.07776,1,7650.986694,0,4,0,1,0,16,0,0,0
user228@upi,1061,6,0.907735433,68.33718176,12183.86606,0,5410.185715,1,2,1,1,0,5,1,1,1
user229@upi,1653,15,0.996565656,41.18086286,8373.111542,1,26748.5516,0,3,1,0,0,1,0,1,1
user230@upi,1589,15,0.700431799,67.39012332,7654.654263,1,27779.12918,0,3,1,0,1,8,1,1,1
user231@upi,1373,0,0.770447221,8.777101137,7717.606732,0,5341.686931,0,4,1,0,1,13,0,0,0
user232@upi,1831,3,0.337302836,91.75722871,11823.75472,1,48209.17129,0,2,0,0,1,0,0,1,1
user233@upi,1991,3,0.941576853,34.16253139,12988.62019,0,28668.60001,1,2,0,1,1,16,0,0,1
user234@upi,1364,6,0.529713966,106.5129995,9089.660895,1,7560.239275,1,1,1,0,1,10,1,1,1
user235@upi,1673,7,0.732388447,44.14208335,19376.95986,1,15579.01179,1,0,1,0,1,5,1,0,1
user236@upi,1539,16,0.924107716,17.13889326,1768.529788,1,40013.70835,0,1,0,1,1,0,0,0,1
user237@upi,1381,4,0.975179976,83.50578892,7006.235816,1,26166.34408,1,3,0,0,0,18,0,0,0
user238@upi,1506,6,0.833204357,19.74937737,8439.586194,0,9415.535944,1,4,0,0,1,15,1,0,0
user239@upi,1264,19,0.303017507,90.44166187,436.734735,0,5151.420113,1,2,1,1,1,17,1,1,1
user240@upi,199,19,0.966547517,116.1734684,7362.648035,0,21544.41287,1,1,0,1,0,10,0,0,0
user241@upi,1258,3,0.628119531,93.54634426,5546.827352,0,16877.36129,1,4,0,0,0,8,0,1,1
user242@upi,1418,5,0.930642476,2.693909812,10170.12178,0,32799.30845,0,4,0,0,0,20,0,0,0
user243@upi,1410,6,0.676105026,71.98629457,6794.569889,1,46263.09688,1,0,1,0,0,5,1,0,1
user244@upi,1316,17,0.307238962,83.44928052,14551.02449,0,12394.03699,1,2,0,0,1,1,0,0,0
user245@upi,1991,4,0.370024524,99.0549991,10247.65666,1,42763.14432,1,4,0,0,1,7,1,1,1
user246@upi,642,19,0.550471777,6.720277073,2682.268447,0,46023.8943,0,2,0,1,0,21,1,0,1
user247@upi,637,2,0.790014842,57.61293935,15026.22035,0,45101.10995,0,1,1,0,0,15,0,0,1
user248@upi,982,6,0.317982551,64.24450472,2074.655032,0,47604.34572,1,4,1,0,1,7,1,0,1
user249@upi,1778,13,0.579731166,20.29498352,16797.07844,0,42107.01002,0,4,0,0,0,7,0,0,1
user250@upi,1292,6,0.345624994,38.69397717,18635.30166,1,29678.36541,0,1,1,0,0,13,0,1,1
user251@upi,1392,4,0.815769405,52.82660715,6516.661275,0,20498.20647,1,2,1,0,1,0,1,0,0
